epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,427.371,1.05268,0.47659,0.15411,0.77593,0.58005,0.63837,0.29789,nan,nan,nan,0.000665577,0.000665577,0.000665577
2,842.189,0.99665,0.48838,0.14196,0.81294,0.55611,0.62089,0.29424,nan,nan,nan,0.00128828,0.00128828,0.00128828
3,1271.43,1.01328,0.48661,0.14411,0.74462,0.42002,0.44276,0.2092,nan,nan,nan,0.00186698,0.00186698,0.00186698
4,1679.31,0.96386,0.49705,0.13203,0.7728,0.53099,0.57148,0.25576,nan,nan,nan,0.001802,0.001802,0.001802
5,2098.35,0.93234,0.4857,0.12159,0.83314,0.51089,0.58429,0.27654,nan,nan,nan,0.001736,0.001736,0.001736
6,2508.66,0.93111,0.48532,0.12494,0.79554,0.58657,0.64254,0.30305,nan,nan,nan,0.00167,0.00167,0.00167
7,2921.68,0.9147,0.48153,0.11951,0.79216,0.55276,0.60431,0.27453,nan,nan,nan,0.001604,0.001604,0.001604
8,3364.56,0.88006,0.47998,0.11159,0.84694,0.52596,0.59749,0.28603,0.87936,0.57356,0.19445,0.001538,0.001538,0.001538
9,3818.52,0.87005,0.48719,0.11267,0.79978,0.61139,0.6524,0.31711,0.79341,0.51718,0.19007,0.001472,0.001472,0.001472
10,4233.67,0.86178,0.47551,0.10913,0.77109,0.47571,0.54656,0.23539,0.85923,0.55377,0.20244,0.001406,0.001406,0.001406
11,4639.47,0.85932,0.46836,0.10797,0.78587,0.58402,0.63088,0.27578,0.80758,0.5426,0.17586,0.00134,0.00134,0.00134
12,5083.61,0.82902,0.46501,0.10166,0.74874,0.62982,0.64885,0.30347,0.77272,0.52671,0.17273,0.001274,0.001274,0.001274
13,5489.56,0.82591,0.4638,0.10174,0.82925,0.60198,0.65862,0.31851,0.77904,0.54926,0.17128,0.001208,0.001208,0.001208
14,5909.71,0.79248,0.46472,0.09633,0.82175,0.57789,0.63612,0.29415,nan,nan,nan,0.001142,0.001142,0.001142
15,6352.54,0.78634,0.46315,0.09225,0.78967,0.59114,0.63178,0.30127,nan,nan,nan,0.001076,0.001076,0.001076
16,6759.06,0.77053,0.45598,0.09061,0.82033,0.59654,0.64959,0.30059,nan,nan,nan,0.00101,0.00101,0.00101
17,7167.99,0.75636,0.45242,0.08701,0.81466,0.55779,0.59356,0.2666,nan,nan,nan,0.000944,0.000944,0.000944
